Column,Row,Treatment,AG_Length,AG_Mass,BG_Length,BG_Mass,RS_Length,RS_Mass
1,1,Control,42.4,6.664,22.2,3.758,0.52,0.56
1,2,Liquid,52.2,10.393,17.6,3.797,0.34,0.37
1,3,CBG,57.4,12.349,21.7,2.573,0.38,0.21
1,4,CG,44.3,8.489,30.5,2.45,0.69,0.29
1,5,Control,49.9,8.4,26.1,1.98,0.52,0.24
1,6,Liquid,39.2,6.144,19.3,0.984,0.49,0.16
1,7,CBG,27.5,3.033,20.1,0.852,0.73,0.28
1,9,Control,36.6,5.327,30.8,1.788,0.84,0.34
1,10,Liquid,33.9,4.42,19.8,1.45,0.58,0.33
1,11,CBG,38.3,6.256,41.8,2.593,1.09,0.41
1,13,Control,40.2,5.864,26.5,2.238,0.66,0.38
2,1,CG,58.8,11.034,19.2,1.137,0.33,0.1
2,2,Control,58.2,11.946,23.2,1.8,0.4,0.15
2,3,Liquid,46.6,9.003,21.3,1.843,0.46,0.2
2,4,CBG,51.2,9.781,23.2,1.494,0.45,0.15
2,7,Liquid,27.2,2.575,38.5,0.926,1.42,0.36
2,8,CBG,27,2.582,40.9,1.183,1.51,0.46
2,9,CG,38.8,4.908,34.8,2.247,0.9,0.46
2,11,Liquid,35.7,5.747,25.6,1.711,0.72,0.3
2,12,CBG,39.5,5.16,22.6,2.112,0.57,0.41
2,13,CG,41.1,5.96,29.6,1.766,0.72,0.3
3,1,CBG,61.8,10.565,25.5,1.228,0.41,0.12
3,2,CG,48.9,8.997,20.1,1.53,0.41,0.17
3,3,Control,50.8,9.636,26,1.183,0.51,0.12
3,4,Liquid,58.5,13.39,33.1,1.706,0.57,0.13
3,5,CBG,61.4,13.746,34.3,1.846,0.56,0.13
3,6,CG,50,8.891,23.8,2.668,0.48,0.3
3,7,Control,40.9,5.598,26.4,2.061,0.65,0.37
3,8,Liquid,32.5,3.844,24.2,1.35,0.74,0.35
3,9,CBG,45.6,8.215,38.9,2.599,0.85,0.32
3,10,CG,39.3,5.984,34.6,2.3,0.88,0.38
3,11,Control,42.5,6.912,23.1,2.102,0.54,0.3
3,12,Liquid,27.4,2.486,27.3,1.522,1,0.61
3,13,CBG,42.4,5.031,36.7,2.384,0.87,0.47
4,1,Liquid,60.3,10.481,16.6,1.767,0.28,0.17
