Obs#,Time,Date,configName,configAuthor,remark,Column,Row,Treatment,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,14:03:22,4/29/2024,TIM2024,Zach Peagler,,1,1,Control,0.595623,2.921246,0.494747,7.261475,1.671506,1.473633,3.079273,1.407767,14.992557,17.005686,31.328123,0.441786,PSF-01133_20240429140322,0,0,0,209.751251,358.609192,0.415098,0.5,0.8,122.124695,72.93,64.3,19.62,24.46,98.29,156.6,156.6,0,736,3.786,-5,-2,290,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,-0.913,-0.196,0.382,197.696,99.078,48.822,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.513251,2.440784,1.689095,0.954337,0.338333,0.057023,0.183591,0.761128,209.751251,0.000347,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140322,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
2,14:03:34,4/29/2024,TIM2024,Zach Peagler,,1,2,Liquid,0.374849,2.921695,0.332225,4.358376,1.692759,1.57405,2.951881,1.259123,16.012516,17.220114,30.028933,0.441786,PSF-01133_20240429140334,0,0,0,227.994919,358.367096,0.363795,0.5,0.8,91.773048,73.24,68.1,19.75,23.76,98.3,156.7,156,0.4,631,3.786,-1,2,287,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,-0.012,-0.04,-9999,2.543,5.899,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.518502,2.441145,1.689578,0.952898,0.336487,0.047293,0.185832,0.667964,227.994919,0.000348,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140334,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
3,14:03:45,4/29/2024,TIM2024,Zach Peagler,,1,3,CBG,0.881065,2.922321,0.676964,8.897132,1.862679,1.620919,3.121743,1.259064,16.490898,18.950514,31.759974,0.441786,PSF-01133_20240429140345,0,0,0,207.346207,362.200134,0.427537,0.5,0.8,123.87709,80,69.62,19.87,24.69,98.29,156.8,156.6,0.1,724,3.784,0,-3,280,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,-0.497,0.032,0.611,-87.722,68.137,34.065,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.520573,2.449624,1.690252,0.954298,0.334886,0.056828,0.18774,0.751219,202.224976,0.000351,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140345,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
4,14:04:20,4/29/2024,TIM2024,Zach Peagler,,1,4,CG,1.315816,2.922286,0.907291,8.588412,1.972577,1.739417,2.880227,0.907651,17.692867,20.064507,29.296877,0.441786,PSF-01133_20240429140420,0,0,0,141.509415,391.050354,0.63813,0.5,0.8,47.45171,82.81,73.02,20.24,23.35,98.31,156.8,156.4,0.3,186,3.784,-1,0,349,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.777,1.227,1.238,0.379,0.253,-1.835,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.525204,2.453092,1.690215,0.953758,0.329965,0.037103,0.193536,0.272783,141.509415,0.000344,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140420,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
5,14:04:27,4/29/2024,TIM2024,Zach Peagler,,1,5,Control,0.660549,2.922138,0.538762,6.389199,1.932998,1.759446,3.069255,1.136257,17.896051,19.661322,31.218666,0.441786,PSF-01133_20240429140427,0,0,0,144.180176,358.832001,0.598196,0.5,0.8,43.615314,80.76,73.51,20.32,24.41,98.31,156.8,155.8,0.6,182,3.755,-5,5,346,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,-0.004,0.741,-9999,124.068,61.433,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.525865,2.45051,1.690056,0.952312,0.328944,0.048476,0.194553,0.269564,144.180176,0.000346,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140427,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
6,14:04:35,4/29/2024,TIM2024,Zach Peagler,,1,6,Liquid,1.367391,2.921583,0.931445,9.035867,2.022931,1.77763,2.95245,0.92952,18.082718,20.578001,30.033421,0.441786,PSF-01133_20240429140435,0,0,0,143.609406,375.158417,0.617203,0.5,0.8,37.299446,84.09,73.9,20.4,23.76,98.31,156.7,156.5,0.1,151,3.755,-4,1,307,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.133,0.575,0.699,-0.26,0.362,-0.731,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.52638,2.45468,1.689457,0.954068,0.327864,0.040049,0.195612,0.241846,142.820114,0.000356,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140435,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
7,14:04:43,4/29/2024,TIM2024,Zach Peagler,,1,7,CBG,1.162405,2.921922,0.831583,7.447761,1.991288,1.789088,2.850047,0.858759,18.199221,20.256067,28.991659,0.441786,PSF-01133_20240429140443,0,0,0,135.247345,385.390869,0.649064,0.5,0.8,36.833458,82.36,73.99,20.48,23.18,98.31,156.7,156,0.5,142,3.781,-5,0,293,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.309,1.225,1.107,0.021,0.071,-1.285,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.526494,2.452484,1.689822,0.952699,0.32677,0.032372,0.196707,0.233662,135.247345,0.000349,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140443,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
8,14:04:48,4/29/2024,TIM2024,Zach Peagler,,1,8,CG,0.254478,2.921671,0.234089,9.344372,2.057523,1.803974,5.824115,3.766592,18.351906,20.931273,59.248974,0.441786,PSF-01133_20240429140448,0,0,0,2.579927,2.593517,0.00524,0.5,0.8,0.320595,84.82,74.37,20.54,35.55,98.3,156.7,-21.8,113.9,153,3.781,-15,15,240,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.021,-9999,-9999,-0.024,-9999,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.527008,2.455578,1.689552,0.562034,0.326095,0.186639,0.197286,0.243512,2.579927,0.000343,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140448,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
9,14:04:55,4/29/2024,TIM2024,Zach Peagler,,1,9,Control,1.787092,2.922382,1.108949,9.417633,2.05267,1.797255,2.866606,0.813936,18.282904,20.881163,29.161072,0.441786,PSF-01133_20240429140455,0,0,0,130.272385,403.062714,0.676794,0.5,0.8,37.299004,84.29,73.8,20.6,23.27,98.3,156.8,155.9,0.6,138,3.781,-2,-1,235,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,1.032,1.352,-9999,0.124,-1.244,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.5262,2.454893,1.690318,0.952415,0.325245,0.03216,0.198134,0.230025,131.607407,0.000354,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140455,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
10,14:05:03,4/29/2024,TIM2024,Zach Peagler,,1,10,Liquid,0.965141,2.922173,0.725516,6.753074,1.960026,1.776677,2.852589,0.892563,18.074253,19.93948,29.019585,0.441786,PSF-01133_20240429140503,0,0,0,134.763474,406.40329,0.6684,0.5,0.8,35.15184,80.08,72.59,20.68,23.19,98.3,156.8,156.2,0.4,131,3.78,1,4,239,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.2,0.52,-9999,2.425,1.333,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.524503,2.44959,1.690092,0.953225,0.324179,0.030308,0.199177,0.224427,134.763474,0.000341,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140503,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
