Row,Column,Treatment,Date,Height
1,1,Control,4/8/2024,1
1,2,CG,4/8/2024,2.35
1,3,CBG,4/8/2024,2.1
1,4,Liquid,4/8/2024,3.1
1,5,Control,4/8/2024,0
1,6,CG,4/8/2024,0
1,7,CBG,4/8/2024,1.5
1,8,Liquid,4/8/2024,0
2,1,Liquid,4/8/2024,2.4
2,2,Control,4/8/2024,2.2
2,3,CG,4/8/2024,1.6
2,4,CBG,4/8/2024,0.55
2,5,Liquid,4/8/2024,2.55
2,6,Control,4/8/2024,2.45
2,7,CG,4/8/2024,2.5
2,8,CBG,4/8/2024,0
3,1,CBG,4/8/2024,2.5
3,2,Liquid,4/8/2024,2.9
3,3,Control,4/8/2024,2.5
3,4,CG,4/8/2024,2.5
3,5,CBG,4/8/2024,0
3,6,Liquid,4/8/2024,0
3,7,Control,4/8/2024,2.7
3,8,CG,4/8/2024,1.5
4,1,CG,4/8/2024,2.3
4,2,CBG,4/8/2024,0
4,3,Liquid,4/8/2024,2.7
4,4,Control,4/8/2024,1.5
4,5,CG,4/8/2024,1
4,6,CBG,4/8/2024,0
4,7,Liquid,4/8/2024,1.6
4,8,Control,4/8/2024,2.3
5,1,Control,4/8/2024,2.5
5,2,CG,4/8/2024,0
5,3,CBG,4/8/2024,2.5
5,4,Liquid,4/8/2024,2
5,5,Control,4/8/2024,3
5,6,CG,4/8/2024,0
5,7,CBG,4/8/2024,1.85
5,8,Liquid,4/8/2024,1.4
6,1,Liquid,4/8/2024,0.5
6,2,Control,4/8/2024,0
6,3,CG,4/8/2024,2
6,4,CBG,4/8/2024,2.2
6,5,Liquid,4/8/2024,2
6,6,Control,4/8/2024,3.4
6,7,CG,4/8/2024,2.6
6,8,CBG,4/8/2024,0
7,1,CBG,4/8/2024,0
7,2,Liquid,4/8/2024,0
7,3,Control,4/8/2024,3
7,4,CG,4/8/2024,2.3
7,5,CBG,4/8/2024,2.7
7,6,Liquid,4/8/2024,3
7,7,Control,4/8/2024,2.5
